Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
SP-TPC-TPC0211-0212-2032-WH-6M,2020,,Limited Edition Baby Lives Matter Infant One-Piece,6-12 mos,18.00,Yes,https://shop.donaldjtrump.com/products/babies-lives-matter,https://cdn.shopify.com/s/files/1/1427/9954/products/0211-2032-WH.png?v=1579821014,"<p>Proudly show you’re investing in your baby’s future to Make America Great Again with this incredibly soft, boutique-style one-piece.</p>
<p>• Baby rib (100% Cotton) construction<br>• Neckband designed for easy on/off.<br>• Not intended for sleepwear<br>• Unisex<br>• Proudly Made in USA</p>"
SP-TPC-TPC0211-0212-2032-WH-12M,2020,,Limited Edition Baby Lives Matter Infant One-Piece,12-18 mos,18.00,Yes,https://shop.donaldjtrump.com/products/babies-lives-matter,https://cdn.shopify.com/s/files/1/1427/9954/products/0211-2032-WH.png?v=1579821014,"<p>Proudly show you’re investing in your baby’s future to Make America Great Again with this incredibly soft, boutique-style one-piece.</p>
<p>• Baby rib (100% Cotton) construction<br>• Neckband designed for easy on/off.<br>• Not intended for sleepwear<br>• Unisex<br>• Proudly Made in USA</p>"
SP-TPC-TPC0211-0212-2032-WH-18M,2020,,Limited Edition Baby Lives Matter Infant One-Piece,18-24 mos,18.00,Yes,https://shop.donaldjtrump.com/products/babies-lives-matter,https://cdn.shopify.com/s/files/1/1427/9954/products/0211-2032-WH.png?v=1579821014,"<p>Proudly show you’re investing in your baby’s future to Make America Great Again with this incredibly soft, boutique-style one-piece.</p>
<p>• Baby rib (100% Cotton) construction<br>• Neckband designed for easy on/off.<br>• Not intended for sleepwear<br>• Unisex<br>• Proudly Made in USA</p>"
EMB-TPC-TPC0285-MAGA-BLUECAMO,2020,,Blue Camo MAGA Hat,Default Title,40.00,Yes,https://shop.donaldjtrump.com/products/blue-camo-maga-hat,https://cdn.shopify.com/s/files/1/1427/9954/products/0285_BlueCamoMAGA_fc94efd6-2aef-434f-ae7d-d0d3efc7598b.jpg?v=1591993147,"<p>Get your limited-edition Blue Camo MAGA hat TODAY to show your support for President Donald J. Trump and his efforts to Make America Great Again!</p>
<ul>
<li>Embroidered MAGA logo on front<br>
</li>
<li>Embroidered Trump 2020 on back</li>
<li>Flat Bill</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0275-5040-WH-S,2020,,Defend The Police Tee,Small,30.00,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
SP-TPC-TPC0275-5040-WH-M,2020,,Defend The Police Tee,Medium,30.00,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
SP-TPC-TPC0275-5040-WH-L,2020,,Defend The Police Tee,Large,30.00,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
SP-TPC-TPC0275-5040-WH-XL,2020,,Defend The Police Tee,X-Large,30.00,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
SP-TPC-TPC0275-5040-WH-2X,2020,,Defend The Police Tee,2XL,32.50,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
SP-TPC-TPC0275-5040-WH-3X,2020,,Defend The Police Tee,3XL,35.00,Yes,https://shop.donaldjtrump.com/products/defend-the-police-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0275-5040-WH-M3.jpg?v=1591906067,"<p>Defend the Police Tee</p>
<ul>
<li><span>Fine Jersey (100% cotton) construction</span></li>
<li><span>Durable rib neckband</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
